Date,Open,High,Low,Close,Volume,Returns,SMA20,SMA50,BB_Upper,BB_Lower,BB_Middle,MACD,Signal_Line,RSI
2023-03-07,305.7300109863281,311.3999938964844,301.5299987792969,301.80999755859375,1974900,0.0,301.80999755859375,301.80999755859375,301.80999755859375,301.80999755859375,301.80999755859375,0.0,0.0,0.0
2023-03-08,302.1099853515625,307.2699890136719,300.6499938964844,305.8699951171875,1395200,0.013452163915827663,303.8399963378906,303.8399963378906,307.8999938964844,299.7799987792969,303.8399963378906,0.3238744491185912,0.1619372245592956,99.99999999507389
2023-03-09,305.7300109863281,309.19000244140625,300.19000244140625,301.79998779296875,1492000,-0.013306330758789904,303.1599934895833,303.1599934895833,306.99252325987516,299.3274637192915,303.1599934895833,0.24925841103600987,0.19104428671820037,49.93843936092958
2023-03-10,302.8800048828125,302.9200134277344,294.2300109863281,296.260009765625,2863300,-0.018356455438772616,301.43499755859375,301.43499755859375,308.27045985995255,294.59953525723495,301.43499755859375,-0.2539775686861958,0.07978882286710132,29.700092422635976
2023-03-13,294.4100036621094,296.8299865722656,288.5299987792969,292.8999938964844,3388800,-0.011341442511254811,299.7279968261719,299.7279968261719,308.8931733060035,290.56282034634023,299.7279968261719,-0.913391894853703,-0.11884732067705954,23.840269227794835
2023-03-14,296.1499938964844,296.5199890136719,291.5,295.1000061035156,2805900,0.007511137770145431,298.9566650390625,298.9566650390625,308.0064958535855,289.9068342245395,298.9566650390625,-1.2441184769613187,-0.30639251339110274,32.55333431624314
2023-03-15,291.0199890136719,294.2900085449219,286.5799865722656,293.2300109863281,2055300,-0.006336818293834736,298.1385716029576,298.1385716029576,307.42631422291635,288.85082898299885,298.1385716029576,-1.6382301563145347,-0.4966550338087359,29.66828414506618
2023-03-16,290.42999267578125,297.5400085449219,289.1400146484375,297.3999938964844,1667700,0.01422085991856637,298.04624938964844,298.04624938964844,306.7478611686663,289.34463761063057,298.04624938964844,-1.5956896141848915,-0.6340343563557553,41.27422718628052
2023-03-17,294.8699951171875,297.32000732421875,289.94000244140625,294.739990234375,2517600,-0.008944195415939514,297.67888726128473,297.67888726128473,306.14195343291436,289.2158210896551,297.67888726128473,-1.7563696569105218,-0.7587382786396183,37.343341964028696
2023-03-20,295.9599914550781,297.42999267578125,289.80999755859375,293.45001220703125,1621900,-0.00437666441638262,297.25599975585936,297.25599975585936,305.6761635573337,288.835835954385,297.25599975585936,-1.9651472007496409,-0.8793791708506206,35.69474035889037
2023-03-21,296.5299987792969,304.75,296.4599914550781,298.80999755859375,2369300,0.018265411922290156,297.3972722833807,297.3972722833807,305.4751493240775,289.31939524268387,297.3972722833807,-1.678747331544571,-1.0472539040050777,45.66222699031177
2023-03-22,301.6199951171875,312.20001220703125,300.7799987792969,303.7300109863281,2457200,0.016465357477771832,297.9250005086263,297.9250005086263,306.4143052034733,289.43569581377926,297.9250005086263,-1.0427492422734872,-1.1839162731442854,52.43039862009322
2023-03-23,308.2799987792969,312.5799865722656,304.19000244140625,308.2200012207031,1517800,0.0147828336745331,298.7169236403245,298.7169236403245,308.5468477039294,288.88699957671963,298.7169236403245,-0.17440109959215988,-1.2262822242071025,57.28575759319505
2023-03-24,308.05999755859375,315.510009765625,306.5899963378906,313.45001220703125,1506500,0.016968434772612756,299.769287109375,299.769287109375,311.9065780236643,287.6319961950857,299.769287109375,0.9251249723534443,-1.1083719701031385,61.82448351799545
2023-03-27,316.29998779296875,317.8699951171875,310.4100036621094,317.2200012207031,1817600,0.01202740107466267,300.9326680501302,300.9326680501302,315.5369961974426,286.3283399028178,300.9326680501302,2.076774152633959,-0.8093553653543722,64.5404938431086
2023-03-28,319.6099853515625,321.25,314.2200012207031,320.30999755859375,5869000,0.009740862259630301,302.1437511444092,302.1437511444092,319.11311578394805,285.1743865048703,302.1437511444092,3.2018918888948065,-0.3647543287687597,66.49430678936741
2023-03-29,366.25,370.25,359.6400146484375,361.0400085449219,11502000,0.1271581008921754,305.6082368738511,305.6082368738511,337.84472054424566,273.3717532034566,305.6082368738511,7.296023277878589,0.5286710146505527,79.74125691534489
2023-03-30,365.0,368.1400146484375,356.5,358.0899963378906,2864900,-0.008170873413504805,308.5238901774089,308.5238901774089,348.0147546587258,269.03302569609195,308.5238901774089,10.185201901987284,1.7067601662677703,80.71593598734955
2023-03-31,360.04998779296875,364.489990234375,357.7300109863281,364.19000244140625,2218000,0.01703484086653935,311.45368555972453,311.45368555972453,357.2300376127529,265.6773335066962,311.45368555972453,12.819342884666469,3.1643314204254693,86.84238576539286
2023-04-03,364.19000244140625,367.5199890136719,361.739990234375,367.3999938964844,1655600,0.008814057040444358,314.2510009765625,314.2510009765625,365.09781676728727,263.4041851858378,314.2510009765625,14.993106871675877,4.860156827668021,90.47154377587583
2023-04-04,366.5899963378906,370.260009765625,364.79998779296875,366.79998779296875,1682200,-0.0016331140813374042,316.7533336821057,316.7533336821057,371.1887814245927,262.31788593961863,316.7533336821057,16.47747296296484,6.675778857118962,89.63954220770452
2023-04-05,367.6400146484375,371.260009765625,362.760009765625,364.80999755859375,1437900,-0.0054252734476594395,319.7533336821057,318.9377274946733,377.4124865024581,262.0941808617533,319.7533336821057,17.293914719916756,8.509445253337987,89.52076668554916
2023-04-06,362.2200012207031,365.5899963378906,359.6400146484375,364.3299865722656,1322000,-0.001315783529893608,322.53714279901413,320.91130397630775,382.83106325663744,262.24322234139083,322.53714279901413,17.698203941184318,10.296705757415634,88.5230784132295
2023-04-10,361.4700012207031,364.6700134277344,361.1700134277344,363.3699951171875,972200,-0.0026349504308169503,325.4690479096912,322.68041610717773,387.40972343431184,263.52837238507055,325.4690479096912,17.736685306830054,11.977861790863296,90.2900191681968
