Date,Open,High,Low,Close,Volume,Returns,SMA20,SMA50,BB_Upper,BB_Lower,BB_Middle,MACD,Signal_Line,RSI,PriceRange,VWAP,VolumeRatio,Momentum1D,Momentum5D,Momentum10D,TrueRange,ATR14,UpperShadow,LowerShadow,BodySize,TrendStrength,VolatilityRegime
2023-03-08,-0.6861247957390858,-0.7011905972001733,-0.6871280580588912,-0.6906037390290609,-0.42398238438555924,-0.19053597353240048,-0.7036346561218159,-0.7355979551420224,-0.7950640009668601,-0.6042900527832813,-0.7036346561218159,-0.38835582518044,-0.3778633171998581,-1.0005417454260213,-0.7938901570139247,-0.7051581753389888,-0.44751237850143666,-0.19053597353240037,-0.23769230459427404,-0.2782603758275496,-1.2006906417344057,-1.7041625581817876,-0.7343876952753248,-0.2500777149457488,-0.9104241612379663,-0.26493017880510716,-1.0
2023-03-09,-0.6819904617193946,-0.6864197433486506,-0.7015271760950277,-0.7214267660406548,-0.4156783182326733,-0.5322592737626192,-0.7196222213452996,-0.7542133839998255,-0.78024674852892,-0.6525705092240301,-0.7196222213452996,-0.41101408979924425,-0.3897115684225112,-1.0005417454260213,-0.27934947800508825,-0.7051581756026453,-0.443095547312918,-0.5322592737626191,-0.23769230459427404,-0.2782603758275496,-0.5200032822915446,-0.9714617033363387,-0.2755939207000849,-0.9234785787227531,-0.2926544351175073,-0.26493017880510716,-1.0
2023-03-10,-0.7218256336378178,-0.7155866933165548,-0.7333584407952491,-0.7488675426100593,-0.34976126168941446,-0.4994897502182112,-0.7344402291569101,-0.7714670162055743,-0.7778510466599033,-0.6850049157434717,-0.7344402291569101,-0.4486800216489014,-0.40679160047241425,-1.0005417454260213,-0.21764648495061023,-0.7058669583653054,-0.39896848816029007,-0.49948975021821107,-0.23769230459427404,-0.2782603758275496,-0.4939899604467788,-0.7085606964816635,0.1751427077430172,-0.7551231143403401,-0.5118640991157408,-0.26493017880510716,-1.0
2023-03-13,-0.7569631737238997,-0.7589626911139111,-0.7524950735208417,-0.7593929611632017,-0.20166234552279771,-0.31070360730956104,-0.744578942502991,-0.7832722219617576,-0.7817249958271275,-0.7012090652864451,-0.744578942502991,-0.48524023498124147,-0.42489048165325816,-1.0005417454260213,-0.6502466552646855,-0.7507253171912387,-0.3026541896266379,-0.3107036073095608,-0.23769230459427404,-0.2782603758275496,-0.7779698635121741,-0.7299500503312768,-0.18705668804149556,-0.41077335061650655,-0.9469585757587662,-0.26493017880510716,-1.0
2023-03-14,-0.7396762145174283,-0.7498013419789032,-0.7782627996051421,-0.7729251355997029,-0.041050348009899595,-0.34586737496985753,-0.7534697665502853,-0.793624423827777,-0.7847659389313902,-0.7158056554602001,-0.7534697665502853,-0.5227277953892318,-0.4435908704060477,-1.0005417454260213,-0.022688278140286955,-0.7412508818422753,-0.21754785933729082,-0.3458673749698574,-0.23769230459427404,-0.2782603758275496,-0.3769285604524597,-0.5701092026242203,-0.5331642279519808,0.07897343006799806,-0.4022578526854541,-0.26493017880510716,-1.0
2023-03-15,-0.8011195938683929,-0.7937380565590467,-0.7991043919434053,-0.7729251355997029,-0.00677464698022312,-0.19053597353240048,-0.7593969825818147,-0.8005258917384562,-0.7896274882128818,-0.7224583429941807,-0.7593969825818147,-0.5505670866466722,-0.46091028490601726,-1.0005417454260213,-0.4225373476139256,-0.786689119769999,-0.2378240583725214,-0.19053597353240037,-0.6431424270462354,-0.2782603758275496,-0.6479026690244747,-0.5607753394061386,-0.9678018969422795,-0.1965078107440098,-0.5185073046080457,-0.26493017880510716,-1.0
2023-03-16,-0.7924763605473591,-0.7636368516593823,-0.7761787774177391,-0.7460485340061157,-0.36445067683023324,0.12013289538257244,-0.7596476803904483,-0.8008177965504892,-0.7940845154331604,-0.7181221425199396,-0.7596476803904483,-0.5507727214619622,-0.4733120177389284,-0.43722515030191744,-0.2858592426019758,-0.7555592156974663,-0.5451224340530265,0.12013289538257244,-0.3608443831592969,-0.2782603758275496,-0.5611905985012806,-0.5274402894476216,-0.8229251331272529,-0.7704288223637603,-0.19633471848806006,-0.26493017880510716,-1.0
2023-03-17,-0.7441855630295229,-0.7630753830270404,-0.766894267060132,-0.7684139753233357,1.0,-0.44551242993465157,-0.762735880874859,-0.804413602141433,-0.7980966333371444,-0.7199817752928153,-0.762735880874859,-0.565523949288302,-0.4845417114404469,-0.5329875011527764,-0.4693011795892643,-0.7549785590519,0.43702842990949353,-0.44551242993465145,-0.3368305080860454,-0.2782603758275496,-0.6609082839389353,-0.529273360054364,-0.9114551979389723,-0.19650764148551092,-0.5616848001028953,-0.26493017880510716,-1.0
2023-03-20,-0.7618485561459452,-0.7632628206691947,-0.7432108819731081,-0.7441690083093055,-0.628090651365452,0.08906067377066851,-0.7623432372902874,-0.8039564200369104,-0.8006485098979378,-0.716419611801061,-0.7623432372902874,-0.5572394913369079,-0.4923132437606199,-0.2496001618025494,-0.8979139999508783,-0.7551724023162909,-0.8422430554944467,0.08906067377066851,-0.16005963785286192,-0.2782603758275496,-0.8907006485988332,-0.5856660890266594,-0.8873139865077748,-0.8546100358375418,-0.704500979824802,-0.26493017880510716,-1.0
2023-03-21,-0.7274624558001535,-0.7440051346443584,-0.7403685506138831,-0.7445445028681361,-0.6562383806161203,-0.1948126825140052,-0.7620680754024797,-0.8036360300040778,-0.8028738409178328,-0.7134486397912679,-0.7620680754024797,-0.5491002481553231,-0.4976792499880702,-0.25140556222179566,-0.6058491607248825,-0.7352565909522484,-0.8397084631418151,-0.19481268251400508,-0.09195495820772936,-0.2782603758275496,-0.7432864946482187,-0.5990445641389488,-0.8068260329046539,-0.29598759231366856,-0.6878960111895014,-0.26493017880510716,-1.0
