Date,Open,High,Low,Close,Volume,Returns,SMA20,SMA50,BB_Upper,BB_Lower,BB_Middle,MACD,Signal_Line,RSI,PriceRange,VWAP,VolumeRatio,Momentum1D,Momentum5D,Momentum10D,TrueRange,ATR14,UpperShadow,LowerShadow,BodySize,TrendStrength,VolatilityRegime
2023-03-08,-0.3751238364163816,-0.3808025741243606,-0.4092888693474491,-0.3942789142948292,-0.4581001924887924,0.032621568595190276,-0.41274323959615833,-0.42069867189855903,-0.5943422720714244,-0.24879846926437477,-0.41274323959615833,-0.16692815295494468,-0.1484818650176818,-1.2358260440705109,-0.3842698318152815,-0.39700042748755504,-0.431787674633369,0.032621568595190276,-0.12466447522919977,-0.23735324735500485,-1.2465875112300129,-2.3771515130075143,-0.4565976553663248,0.40247826477795745,-0.8761321827781957,-0.1534001330171022,-1.0
2023-03-09,-0.3575605002509401,-0.3837816090741655,-0.5012436027073615,-0.51871885883597,0.09266643726089518,-0.8115343016504593,-0.4785593732856439,-0.4979091726040259,-0.5331166998731144,-0.448159325236154,-0.4785593732856439,-0.2318315929764062,-0.18284909602269583,-1.2358260440705109,0.667031739672826,-0.39700043224656134,-0.17297719131197187,-0.8115343016504593,-0.12466447522919977,-0.23735324735500485,0.020673218718234576,-0.48113836038097924,-1.0,-0.47186314794694684,0.9361331898454863,-0.1534001330171022,-1.0
2023-03-10,-0.5283193827511468,-0.5385519864438235,-0.6185899646531572,-0.6249488831856898,0.0359897172236503,-0.7088085529574207,-0.5379547040396908,-0.5675872738538323,-0.525296883330175,-0.5765881248762286,-0.5379547040396908,-0.33734802080823323,-0.23155307028221372,-1.2358260440705109,0.2629838603091561,-0.5218688248648973,-0.30194252047014725,-0.7088085529574208,-0.12466447522919977,-0.23735324735500485,-0.234564136224782,-0.10371635772268262,-0.6322943383218885,-0.15827764406003209,0.10746305631969166,-0.1534001330171022,-1.0
2023-03-13,-0.6960495255959187,-0.7136390106299108,-0.7534768706277668,-0.7542453013087468,0.12698091401813838,-0.8926016124151062,-0.6018447277150789,-0.6425382082453023,-0.509097653226182,-0.7231883111503875,-0.6018447277150789,-0.4855118835737987,-0.2951324211431988,-1.2358260440705109,-0.21434673636055956,-0.703285933977256,-0.28008876283559314,-0.8926016124151063,-0.12466447522919977,-0.23735324735500485,-0.019627100908576334,0.2457837520809003,-0.8880916889436695,0.006762867085492896,-0.3881836817286135,-0.1534001330171022,-1.0
2023-03-14,-0.6451856040663144,-0.6305771397739595,-0.6911744088508482,-0.6899002738946947,-0.34706008792602727,0.5076732071298984,-0.6265659395612215,-0.6715392606877297,-0.5422054490200822,-0.7371747588775717,-0.6265659395612215,-0.5644040251757225,-0.34998980515726286,-0.8528072944582586,0.04779381698692897,-0.6172210496250314,-0.6429985750728329,0.5076732071298984,-0.12466447522919977,-0.23735324735500485,-0.23456772157677375,0.3268503854926046,-0.008803411195531408,0.05627370801791809,-0.5585713515218937,-0.1534001330171022,-1.0
2023-03-15,-0.7759791043232618,-0.7889328340596173,-0.8351350382747982,-0.8131265639755476,0.058833905401927566,-0.8630012221903274,-0.6647714919044587,-0.7163591196005533,-0.5498960945903423,-0.8059786206460394,-0.6647714919044587,-0.6859549091676393,-0.4080156620890376,-0.9390077134552457,-0.12028508461436349,-0.7813019254199798,-0.3090382833146984,-0.8630012221903274,-1.0917522005331395,-0.23735324735500485,0.10575902815329297,0.5506215205183895,-0.7921737689034258,0.6339340157650193,-0.6592487896164592,-0.1534001330171022,-1.0
2023-03-16,-0.843193136549552,-0.7190175543719028,-0.8230377989120005,-0.7342139715565115,-0.29163642462429984,0.6237655325456384,-0.6801363798294985,-0.7343840418114613,-0.5755516961144758,-0.8091597092080034,-0.6801363798294985,-0.7341142526531069,-0.4567487056539645,-0.6582344413292556,0.6821098033131041,-0.7088589332411507,-0.5921992426959551,0.6237655325456384,-0.6365906342088857,-0.23735324735500485,-0.1091848339246162,0.6185756367328525,-0.28057908909755636,-0.7854487611081209,0.5101845265551266,-0.1534001330171022,-1.0
2023-03-17,-0.7572084564483704,-0.7602498780216677,-0.7988431280718562,-0.8113060822851158,1.0,-0.5337561169251648,-0.70185352642137,-0.7598609525361686,-0.5911566641080677,-0.83607722539044,-0.70185352642137,-0.8055907701522869,-0.5027604289717766,-0.7215252327730841,-0.22064889516327224,-0.7515819676481736,0.35681076358035324,-0.5337561169251648,-0.5785571127069113,-0.23735324735500485,-0.48981111200577765,0.527172646452924,-0.5203860558424493,-0.30681023887510395,-0.4424015147383624,-0.1534001330171022,-1.0
2023-03-20,-0.774162878393304,-0.7291762840491558,-0.778276885357763,-0.7475683460363988,0.12322174381158657,0.5098724765195763,-0.7112533492490594,-0.7708881123886854,-0.6107395535298068,-0.8338038908258834,-0.7112533492490594,-0.8210693526278051,-0.54036868364186,-0.5544350305524641,-0.0733444827828934,-0.7193849409728396,-0.36308258057258935,0.5098724765195763,-0.1078860479706113,-0.23735324735500485,-0.5166809370207608,0.4471478073144497,-0.20065150909462381,-0.12527457703296052,-0.5430789112302412,-0.1534001330171022,-1.0
2023-03-21,-0.6572964946419453,-0.6299799871470367,-0.6379460867578295,-0.6589428064535301,-0.29076892380740327,0.6858629680812969,-0.7093984197242231,-0.7687120496308568,-0.6222065412431521,-0.8176119458214997,-0.7093984197242231,-0.7795179237698889,-0.5660548810090924,-0.3634595494940135,-0.6174821397055221,-0.6166023075807322,-0.675100501254392,0.6858629680812969,-0.0480811639939237,-0.23735324735500485,-0.27934798598400135,0.4541451128297429,0.11909513695283436,-0.7689409436292787,-0.9070751880404632,-0.1534001330171022,-1.0
