Date,Open,High,Low,Close,Volume,Returns,SMA20,SMA50,BB_Upper,BB_Lower,BB_Middle,MACD,Signal_Line,RSI,PriceRange,VWAP,VolumeRatio,Momentum1D,Momentum5D,Momentum10D,TrueRange,ATR14,UpperShadow,LowerShadow,BodySize,TrendStrength,VolatilityRegime
2023-03-08,-0.8072336761449936,-0.7959944351660885,-0.7825190649218186,-0.7822780716931537,-0.9090303943566316,-0.07070459509705762,-0.8200947002491369,-0.8623679077834568,-0.9648293372702539,-0.6734866881654011,-0.8200947002491369,0.13055835871049815,0.12854261713244952,-1.0039288553372372,-0.8008444520488297,-0.7949131267164429,-0.41222874971350976,-0.07070459509705773,-0.019909930117404828,-0.023909904165093532,-1.2254738993374026,-1.6501188449414883,-0.967736659931206,-0.8115503639691181,-0.7574361870525546,-0.09571043014764335,-1.0
2023-03-09,-0.7872137134113352,-0.7785285370867265,-0.7909357258155729,-0.8188648408961972,-0.8787826916418203,-0.4048585449907717,-0.8394786626900583,-0.8830824030977035,-0.9468266239219753,-0.7314115444870211,-0.8394786626900583,0.11242792404657087,0.11882758662743309,-1.0039288553372372,-0.32554470513800937,-0.7949131269950015,-0.37334124924589396,-0.4048585449907717,-0.019909930117404828,-0.023909904165093532,-0.6926329208746667,-1.1964671621975351,-0.5267808248287897,-0.9820517686231582,-0.547949004758169,-0.09571043014764335,-1.0
2023-03-10,-0.8276888697846352,-0.8339080906954559,-0.8476371589125258,-0.8624206388958898,-0.46955403848968713,-0.47752459956361704,-0.8613241231968382,-0.9064273559516121,-0.9386433659526329,-0.7837086064133796,-0.8613241231968382,0.07684587174077295,0.10287836112027882,-1.0039288553372372,-0.31573898066260087,-0.8240894286045599,0.12079990990947076,-0.47752459956361704,-0.019909930117404828,-0.023909904165093532,-0.6926318865794329,-1.0452493475620528,-0.9247152545837527,-0.7307855872486491,-0.5093579793577176,-0.09571043014764335,-1.0
2023-03-13,-0.9016758175062884,-0.8858797743100204,-0.9030096102528435,-0.8946518063170731,-0.02705128827054637,-0.3800987303143918,-0.8807850183706127,-0.9272240647317099,-0.937301549081503,-0.8239175686259304,-0.8807850183706127,0.033608270819816655,0.08331950839405056,-1.0039288553372372,-0.23900086657372277,-0.8791334617504354,0.3512667561848015,-0.3800987303143917,-0.019909930117404828,-0.023909904165093532,-0.5901632234754237,-0.9260204078851563,-0.46225143074940567,-0.31798985243320177,-0.9834609891140923,-0.09571043014764335,-1.0
2023-03-14,-0.8646823985572593,-0.8624498349983618,-0.8835184367345322,-0.8959585198244675,-0.6772324449528522,-0.08351082906803986,-0.8927384783746044,-0.9399980211400751,-0.9451046725922428,-0.8393621408697822,-0.8927384783746044,0.00018996494834544464,0.06442143718888604,-1.0039288553372372,-0.17286139154071156,-0.8543184419861851,-0.5350442008011738,-0.08351082906803986,-0.019909930117404828,-0.023909904165093532,-0.6434470110331272,-0.8726290057190269,-0.7311216444620091,-0.6948913889702844,-0.5534620083868048,-0.09571043014764335,-1.0
2023-03-15,-0.9417157429736054,-0.922941408592345,-0.9309173328824417,-0.9351586061328453,-0.6109115077470644,-0.45520528504200486,-0.9076302912801492,-0.9559120216749358,-0.9453249899841941,-0.8687931933190629,-0.9076302912801492,-0.043932242765980734,0.0439418935364555,-1.0039288553372372,-0.4215165285406236,-0.9183860255312419,-0.43472885557666474,-0.45520528504200497,-0.6978219016551829,-0.023909904165093532,-0.647545923044525,-0.8381979854355179,-0.39771932272822585,-0.5782301494961318,-0.9889739927427282,-0.09571043014764335,-1.0
2023-03-16,-0.9630413984252134,-0.9003635980247324,-0.9366760302629257,-0.8937807738882648,-0.5356025418741177,0.3457784263264432,-0.9120037845288885,-0.9605857154918742,-0.9547664860696558,-0.8673798292575307,-0.9120037845288885,-0.05600779936443523,0.027464911356353205,-0.4772975793148839,0.18593265112396717,-0.8944735088142217,-0.3386339893887722,0.3457784263264432,-0.35963616860678405,-0.023909904165093532,-0.5163848758607315,-0.7816991797786018,-0.8494277952257097,-0.901289256378008,-0.19512790147551695,-0.09571043014764335,-1.0
2023-03-17,-0.8986293109880009,-0.8828976999453705,-0.8821895667603646,-0.9051051846478647,-0.32607805887420804,-0.1816248447321831,-0.916783845274725,-0.9656938839699769,-0.9623294035531351,-0.868791240347677,-0.916783845274725,-0.06895436425351398,0.013372849604918136,-0.5063067646385668,-0.5860007084257375,-0.8759750995663546,-0.09938784726607797,-0.1816248447321831,-0.21884221820572536,-0.023909904165093532,-0.852484283547777,-0.8108623953129903,-0.40847196012329334,-0.9102611075911101,-0.8676934773877611,-0.09571043014764335,-1.0
2023-03-20,-0.9077688305428637,-0.9020676405188182,-0.8897202398163622,-0.8998785504371962,-0.4598547310924611,-0.01913137235020923,-0.9198863119580515,-0.9690093067980105,-0.9689761179266584,-0.8678432092545074,-0.9198863119580515,-0.07423399630614524,0.0017836808214313216,-0.45734576686609807,-0.8240886641580782,-0.896278287205125,-0.2988002011104418,-0.01913137235020912,-0.044779648295488306,-0.023909904165093532,-0.9672507169812132,-0.8552582686719041,-0.7418797097406682,-0.7128373558718073,-0.9724363729755762,-0.09571043014764335,-1.0
2023-03-21,-0.8816557449490353,-0.8607459000012794,-0.8821895667603646,-0.8881184585990101,-0.6829218741902203,0.04494119113116857,-0.921122167194485,-0.9703299922658147,-0.9743853158940493,-0.8645037923060639,-0.921122167194485,-0.07020897526225955,-0.007056299933389298,-0.35558978754283466,-0.15126561997455235,-0.8525137774470601,-0.5847030166793921,0.04494119113116857,0.017426099056864874,-0.023909904165093532,-0.6393480990217294,-0.8349408328138184,-0.26866053456945793,-0.5602819181192902,-0.8676920862690055,-0.09571043014764335,-1.0
2023-03-22,-0.9025461694946602,-0.8824716893218492,-0.8959219311157245,-0.9216563395275879,-0.9376589343472811,-0.3979971899533865,-0.9253639827679465,-0.9748629699316643,-0.9784722600380182,-0.8685709696655806,-0.9253639827679465,-0.08138709156786228,-0.029770112955759598,-0.4404913553149641,-0.3074851256980442,-0.8755239049686288,-0.9336889659392018,-0.3979971899533866,0.04607348940252454,-0.47641750261138893,-0.7213232363639834,-0.8310069721828205,-0.300923874638252,-0.9730776529347374,-0.7078205455135872,-0.09571043014764335,-1.0
2023-03-23,-0.9169083500977265,-0.881193764948288,-0.8976937950087704,-0.8968296621627305,-0.898967956236144,0.17695255423376666,-0.9267066004308671,-0.9762977460963499,-0.982877067065649,-0.8665214741723772,-0.9267066004308671,-0.07542677645874485,-0.049902163618074646,-0.27179275310505935,-0.23638463761787498,-0.8741704350272297,-0.8786998590977781,0.17695255423376643,-0.03440883856207011,-0.2827689153350875,-0.6926329208746667,-0.8236576811220505,-0.29016852330138876,-0.7397597029370699,-0.8180778358487938,-0.09571043014764335,-1.0
2023-03-24,-0.9160378882857602,-0.904197586139422,-0.8866192823842134,-0.8972651234224073,-0.9618994827383555,-0.07497831279593425,-0.927878155507523,-0.9775497177827238,-0.9867771705876787,-0.8646724942321403,-0.927878155507523,-0.06862539613610885,-0.06549205797222568,-0.2729258428228639,-0.9257317678621149,-0.8985341463419758,-0.9333699936609153,-0.07497831279593425,0.0176496035082363,-0.14280894747026307,-1.0164366268227527,-0.8598515008774534,-0.8601858605043687,-0.9461575703447935,-0.8346154556159457,-0.09571043014764335,-1.0
2023-03-27,-0.8820909758550185,-0.8901396655512281,-0.882632560679243,-0.8994429792680647,-0.6817718649233244,-0.09208463746257378,-0.9290471806325893,-0.9787989858593221,-0.9903000002180795,-0.8632231082584201,-0.9290471806325893,-0.062106007220248394,-0.07574958514309871,-0.2785404924591288,-0.7307820919997527,-0.883645180024137,-0.4196233046508806,-0.09208463746257389,-0.017830344533172893,-0.04060124306052959,-0.9180648071396738,-0.8789101917536456,-1.0,-0.7846280169038555,-0.7298711689093751,-0.09571043014764335,-1.0
2023-03-28,-0.9121210297791009,-0.9156995504834905,-0.9154129928515683,-0.9255763701403166,-0.8224938840079643,-0.32762080015105133,-0.9319064262928602,-0.9818544927512942,-0.9928718237548357,-0.8661609396273207,-0.9319064262928602,-0.06775292126534915,-0.08303090215948772,-0.33975468291282496,-0.5964530642078727,-0.910716058925238,-0.6331375470014302,-0.32762080015105133,-0.1973871811735317,-0.12717936489221238,-0.8237939680584602,-0.8905424352044194,-0.9032045519100261,-0.6589949262166008,-0.7794882015670982,-0.09571043014764335,-0.02342989836922038
2023-03-29,-0.9025461694946602,-0.8462619687895641,-0.8702290662980507,-0.8389005651289723,-0.7212799157547702,0.7961735086828416,-0.928668074553785,-0.9783938575932656,-0.9886625820030177,-0.8642240214171913,-0.928668074553785,-0.026965317749638618,-0.0812125872964905,0.055670536239770474,-0.07417857747575918,-0.8371736165314955,-0.44397315931593195,0.7961735086828419,0.38089139530529104,0.32049938843450576,-0.3483346548695917,-0.7926776019968377,-0.8386724438888463,-1.0,-0.26679555752902795,-0.09571043014764335,0.04245389481512585
2023-03-30,-0.8316058381148892,-0.818572245733701,-0.798023404952692,-0.8092826049036684,-0.9455121652077625,0.20941005712775196,-0.9239646075129601,-0.973367540281992,-0.9788235344651267,-0.8654063966204626,-0.9239646075129601,0.021462991298526468,-0.07291018188272658,0.2626918726040448,-0.9408597578169284,-0.807846992345322,-0.7861186462457168,0.20941005712775218,0.39724408904648545,0.2702956029083663,-0.8975712813779188,-0.8325575883291683,-0.8709412118412321,-1.0,-0.7905128177056143,-0.09571043014764335,-0.02416149464830819
2023-03-31,-0.8250775941723308,-0.7942903926720029,-0.7993522749268596,-0.7922958788548139,-0.8936417720939187,0.08701858501677773,-0.9187837809114938,-0.9678310970141576,-0.9670520694609669,-0.8677103380503521,-0.9187837809114938,0.0690663583665363,-0.058118749074487885,0.47120072682028735,-0.4490604770154577,-0.7949131605891255,-0.605072928025822,0.08701858501677773,0.48040109802206343,0.37178036086048993,-0.7664112684893589,-0.8373422728814051,-0.6773503156612842,-0.8384727110343807,-0.6582049039746198,-0.09571043014764335,-0.039916271893057687
2023-04-03,-0.7980941565901308,-0.8062183676395928,-0.8011242506023731,-0.8127670643472658,-0.9107856596195905,-0.2588133980556713,-0.9152899673755015,-0.9640974649283164,-0.9619419117994374,-0.8662307420432653,-0.9152899673755015,0.09691878891229067,-0.03977661265870858,0.5206155302008144,-0.6583965609784133,-0.7949131612528665,-0.5610943103918548,-0.2588133980556713,0.3937969482316883,0.28060096400802337,-0.8647820538772041,-0.8638226533114304,-0.9569813085943426,-0.65002081052818,-0.7629491906811905,-0.09571043014764335,-0.05946105108832178
2023-04-04,-0.8220310876540432,-0.8258141038425555,-0.852509868455253,-0.8676472731065583,-0.73550343166225,-0.5813677939067898,-0.915053132470792,-0.9638443734595928,-0.964013045979252,-0.8635375868968616,-0.915053132470792,0.09192817144811039,-0.02240066601997115,0.31876513387723815,-0.07313041267907605,-0.815516958951326,-0.14497754992409984,-0.5813677939067898,0.2613808394832642,0.04710538002103948,-0.5778664874412305,-0.8216323165984497,-0.8601831465625729,-0.7397597029370699,-0.37153845311684297,-0.09571043014764335,0.02574860144628066
2023-04-05,-0.8881840987151884,-0.8961037067835247,-0.8928210854660433,-0.9059763269861277,-0.35366261233196594,-0.4398621626091008,-0.9167728569639927,-0.9656821414115672,-0.9665884409933272,-0.8642014430654423,-0.9167728569639927,0.06946455634966564,-0.006234166005863573,0.32161857653053016,-0.6512194368924336,-0.8899617905405202,0.4824777600736041,-0.43986216260910094,-0.3279057823101508,0.03169165241836969,-0.7336199723981768,-0.820428917953754,-1.0,-0.7128373558718073,-0.7243595563994949,-0.11031843845732225,0.05302205784316416
2023-04-06,-0.9199548566160142,-0.9033455648923792,-0.8959219311157245,-0.902056296373399,-0.575186306891012,-0.03200206977247699,-0.9228166150375532,-0.9671510739747826,-0.9812513557024284,-0.8605154865335987,-0.9228166150375532,0.05450363987570794,0.007690243216714521,0.20434267839289388,-0.723556740555237,-0.8976317571465241,-0.058527786511620716,-0.03200206977247699,-0.4381342200851641,-0.04214410309957817,-0.9221637191510715,-0.8621920835742678,-0.7203690070669416,-0.8384704465590619,-0.8456414628732176,-0.1217370877627505,-0.002543235403433708
2023-04-10,-0.8481440634242768,-0.7746945489720369,-0.8152996088766113,-0.7761802951442223,0.10905559665817277,1.168889105698375,-0.9206628423573066,-0.9622950749652133,-0.9715798862379958,-0.8665976109374629,-0.9206628423573066,0.1060262193826198,0.026407342988081117,0.5637157722009565,0.24861626995267905,-0.7949131661758677,0.7967621751457135,1.168889105698375,0.051987064950687056,0.3986394445331225,0.11892580000124742,-0.6620226177310431,-0.5805548675713104,-0.9910258843115791,-0.16205127082245718,-0.07333020229552578,0.15582555751959215
2023-04-11,-0.7698050262899812,-0.7657486483690968,-0.751067502723661,-0.7618068862007018,-0.7966040930879353,0.060087358932041424,-0.9155860833571953,-0.9571655877525481,-0.9543439964636413,-0.8749695844933727,-0.9155860833571953,0.15379516953534322,0.0495450841082401,0.5806046693471048,-0.8136319247186653,-0.7834831671787975,-0.6255881893823476,0.060087358932041424,0.2103128621363164,0.457080426057892,-0.9385604014918963,-0.7286292512500981,-0.7096163696718741,-0.6769431575934426,-0.9724363729755762,-0.02334916926883146,0.0686418803397475
2023-04-12,-0.7476090188500015,-0.7555247158955926,-0.7674578305922911,-0.7779224699112934,-0.8249149079922162,-0.21608838615616976,-0.909696165793238,-0.9531763981051476,-0.9418831328302982,-0.8766002751320935,-0.909696165793238,0.18297016185779436,0.07641462635588869,0.5078292231567574,-0.34219377496188097,-0.7949131649196647,-0.6710441758555095,-0.21608838615616976,0.39965073347800617,0.5010345448468214,-0.6885340088632689,-0.7295901500821009,-0.9247152545837527,-0.6141243477744965,-0.5644880156440766,0.013093376311151594,0.07792186335586337
2023-04-13,-0.78112070037476,-0.7849184814455413,-0.8237162697703657,-0.8267049021216546,-0.11015298227874437,-0.5150713842354543,-0.90620177345079,-0.9516186360130047,-0.9381745188949268,-0.8736163411616489,-0.90620177345079,0.18105682712419657,0.09870798578856887,0.4626055320561071,0.1430396636221496,-0.7949131651808341,0.3136599654426273,-0.5150713842354542,0.3600738704351576,0.017091088483470518,-0.45080435226883464,-0.6764498736373767,-0.8386751578306422,-0.47951714139882107,-0.37153845311684297,0.02077917918419625,0.17477304466928767
2023-04-14,-0.8303002552205344,-0.8356121331895415,-0.8657992388917345,-0.8885540297681416,-0.4920695157944769,-0.6512075238254473,-0.9038502042451103,-0.9527701450511612,-0.9400530448788392,-0.8669168060036955,-0.9038502042451103,0.1483331940310919,0.11230443741889617,0.2509863716042797,-0.008688292946931964,-0.8258942069954633,-0.3208593254364682,-0.6512075238254473,0.04464682225504313,-0.28555390518926216,-0.5491761719519135,-0.6527288560250354,-0.9032045519100261,-0.901289256378008,-0.21166691236142465,-0.004525863742385838,0.2515835109077318
