Date,Open,High,Low,Close,Volume,Returns,SMA20,SMA50,BB_Upper,BB_Lower,BB_Middle,MACD,Signal_Line,RSI,PriceRange,VWAP,VolumeRatio,Momentum1D,Momentum5D,Momentum10D,TrueRange,ATR14,UpperShadow,LowerShadow,BodySize,TrendStrength,VolatilityRegime
2023-03-08,-0.6396320634968999,-0.6514184606137694,-0.5783836002877103,-0.5997497922687223,-0.9069147883733977,-0.09507383089834232,-0.6807905321636682,-0.7849609738837848,-0.9448026590859258,-0.3049452017959552,-0.6807905321636682,-0.11038544028040287,-0.13902000170981743,-1.259640625115416,-0.9244365152421996,-0.6608297859511025,-0.3237031353947537,-0.09507383089834232,-0.06269889272557805,-0.1448589770357941,-1.3648808151321217,-2.655336533350505,-0.5711723868007815,-0.773897733565783,-0.8203992146856003,-0.27710322809646615,-1.0
2023-03-09,-0.5739395796045167,-0.5968178388742171,-0.6243431493947766,-0.6747672902628371,-0.7989075909972276,-0.42888031628796275,-0.7226532947575809,-0.8362992393644171,-0.9053149844110414,-0.419433475844299,-0.7226532947575809,-0.14454676808312306,-0.15685692872165224,-1.259640625115416,-0.08646229691385099,-0.6608297897199835,-0.22348547429772148,-0.42888031628796264,-0.06269889272557805,-0.1448589770357941,-0.32856228283288036,-1.2308747020914221,-0.39060803218435136,-0.8807858781428111,0.08473245228029458,-0.27710322809646615,-1.0
2023-03-10,-0.6674129785241183,-0.7056964886111774,-0.7749838366619144,-0.8196688045207308,-0.14283369917667788,-0.746270396388284,-0.7905147737415387,-0.9195209478259931,-0.856109865948783,-0.59071483157819,-0.7905147737415387,-0.23690701857203045,-0.19495243471526946,-1.259640625115416,0.2978941918029807,-0.687475973461741,0.3381196589522595,-0.7462703963882837,-0.06269889272557805,-0.1448589770357941,-0.0531613269214356,-0.5036875732308898,-0.6783728249564265,-0.7985622899654967,0.574147848928015,-0.27710322809646615,-1.0
2023-03-13,-0.9151542753729528,-0.8352552519142447,-0.8764762373194603,-0.8199906384695379,-0.19148349282240962,-0.09654856315435822,-0.8245353113376526,-0.9612419256755796,-0.8802401702026432,-0.6294214860781224,-0.8245353113376526,-0.30797375297892804,-0.23255350861789403,-1.259640625115416,0.12248876799344743,-0.8250558011359602,0.07728533687582795,-0.09654856315435822,-0.06269889272557805,-0.1448589770357941,-0.22248468355989848,-0.25646491752934697,0.09464808420129112,-0.39980816118764306,-0.3604644147098237,-0.27710322809646615,-1.0
2023-03-14,-0.7484685843559051,-0.7292829967402683,-0.7421116192049484,-0.6956046313839312,-0.03645592072644155,0.4749221409877402,-0.8171826882553686,-0.9522250597931494,-0.8922985493906087,-0.6043621621081333,-0.8171826882553686,-0.3047584326799566,-0.25444261660908307,-0.28062771547431387,-0.16802711051867336,-0.712522737116362,0.114284496378529,0.4749221409877402,-0.06269889272557805,-0.1448589770357941,-0.30000183779345346,-0.15075151241231555,-0.24390587819986764,-0.03392961855789378,-0.7201579491343707,-0.27710322809646615,-1.0
2023-03-15,-0.8474988467733247,-0.8885637182058901,-0.9632862867823432,-0.8748093466432125,1.0,-0.9026668648726804,-0.8456154043862887,-0.9870934305985891,-0.8959863538555088,-0.6526375228227017,-0.8456154043862887,-0.38163013801409407,-0.2824145678231136,-0.6155516494995525,0.4067756085464733,-0.8816646280419813,0.8094736418034698,-0.9026668648726804,-0.6754623275083741,-0.1448589770357941,0.7281517829294686,0.3908037007728318,-0.7630156470628899,0.9198023216167828,-0.5432578361967223,-0.27710322809646615,-1.0
2023-03-16,-0.9638525148526136,-0.8562559219712923,-0.9080731540182754,-0.817426200073002,-0.02528276237718252,0.16985050034072846,-0.8567753188819927,-1.000779356171139,-0.9147626650992936,-0.6548383167677903,-0.8567753188819927,-0.4126351200483278,-0.30701992696988967,-0.4113403841319413,0.22918658325489893,-0.8473566358601471,-0.19872739949267137,0.16985050034072846,-0.38367447120733744,-0.1448589770357941,-0.153122484460401,0.4315296518461871,-0.3172526726825654,-0.6053482563901805,0.10241704846620303,-0.27710322809646615,-1.0
2023-03-17,-0.7870355274482357,-0.842363345336012,-0.877753291962315,-0.8344168835992922,1.0,-0.1729062019859844,-0.867515624900031,-1.0139506962244935,-0.9298798953808634,-0.6598103762827456,-0.867515624900031,-0.4412195175015816,-0.3292051962831012,-0.4354344510941236,0.04604745902240981,-0.8326039610838242,0.545550365112657,-0.1729062019859844,-0.09653268628890754,-0.1448589770357941,-0.259203149080801,0.4256210717391802,-1.0,0.3360512673343876,-0.3693089828939309,-0.27710322809646615,-1.0
2023-03-20,-0.812855037057232,-0.7738686188855517,-0.753281886834052,-0.7036192688626499,-0.07195397589856634,0.5054768520554949,-0.8596491301443581,-1.0043036454532324,-0.9285602297954768,-0.6467433209248434,-0.8596491301443581,-0.4002821388334895,-0.3417104145075338,-0.09664123871572361,-0.44305915478747493,-0.7598686831188484,-0.3690756281470007,0.5054768520554951,0.20428208397267222,-0.1448589770357941,-0.4897195789719482,0.35061347005825527,-0.881503526932219,-0.6999040805345673,-0.21304917762943365,-0.27710322809646615,-1.0
2023-03-21,-0.6497648626288557,-0.6750041192085503,-0.6750884307941827,-0.6629049718699226,0.04443309023954778,0.0886028560454779,-0.8488118932967055,-0.9910134345859213,-0.917417956503238,-0.6377529474528736,-0.8488118932967055,-0.34636462758089115,-0.34608411290403296,-0.014681438443223005,-0.2986193547909515,-0.6608299011630872,-0.2744521062974665,0.08860285604547813,0.01107798540860716,-0.1448589770357941,-0.49788230290894964,0.2883633897257585,-0.4470279192889448,-0.07504137755295459,-0.7083667025693444,-0.27710322809646615,-1.0
2023-03-22,-0.6919268267262733,-0.6930974347470206,-0.7389202501207814,-0.7924208790679931,-0.21138568113202716,-0.6762106448313434,-0.8530859819527696,-0.9962549495867656,-0.9282747429919184,-0.6350530890163453,-0.8530859819527696,-0.3604110530657133,-0.37219368705229394,-0.19399200586172882,0.10125498110498166,-0.6740969042633562,-0.5439611396137247,-0.6762106448313434,0.12773218486057503,-0.49956090911228657,-0.20412239688162281,0.310846941963012,-0.03512724636501896,-0.9136740478657943,0.10242154373583645,-0.27710322809646615,-1.0
2023-03-23,-0.8010893353635811,-0.7670844358482689,-0.7944536562064606,-0.7872914906152253,-0.23873664167448405,-0.07165599073486129,-0.8561706552000989,-1.000037828792053,-0.9377239192440963,-0.6315450318598208,-0.8561706552000989,-0.36623098123354403,-0.39534363691651,-0.18465148186603497,-0.028790536997750915,-0.7526644870507184,-0.6028981116543095,-0.07165599073486117,0.006412609175966644,-0.3540774003363091,-0.3163228238268365,0.30387922965461733,0.557329257517502,-0.13259417778386673,-0.929485073457581,-0.27710322809646615,-1.0
2023-03-24,-0.8680902013801787,-0.8439788292399917,-0.8394545916758476,-0.7763916041105557,-0.35430899834963137,-0.04534563896102861,-0.8578449829668551,-1.0020911353123403,-0.945710161883824,-0.6268794364010062,-0.8578449829668551,-0.362911565402528,-0.4085019890622714,-0.16515059770024265,-0.2873744652993695,-0.8343194606104759,-0.6824204378720953,-0.04534563896102861,0.07068426479471279,-0.06281337685985411,-0.5142026918985804,0.2561382577012963,-0.8250836076077837,-0.28469644365202884,-0.38405140230208235,-0.27710322809646615,-1.0
2023-03-27,-0.7347412328095939,-0.7696683692429978,-0.7184935114360624,-0.7433711339671321,-0.7344291563567125,0.0553532267892447,-0.8566477292977406,-1.000622887091149,-0.9504158949388548,-0.6201487223746504,-0.8566477292977406,-0.3423962930048472,-0.4120966522296404,-0.10881015852217757,-0.7172268995501867,-0.7554083933840697,-0.9655027984204408,0.0553532267892447,-0.15248280362991684,0.000403822943783938,-0.8181632329164673,0.15553084101379433,-0.6332403493898933,-0.5478017584533795,-0.734895860409674,-0.27710322809646615,-1.0
2023-03-28,-0.756312999551587,-0.743175673647823,-0.6884933192599931,-0.6965665516124802,-0.12886725124010423,0.11720371183238942,-0.8521275990648218,-0.9950796397867211,-0.9483332524679365,-0.6139202418909611,-0.8521275990648218,-0.3023652924743968,-0.4118467423466161,-0.035357126951211404,-0.7482101035779247,-0.7272755183728787,-0.4548862409484895,0.11720371183238942,-0.1383166307035113,-0.14665245894964374,-0.8426422362361091,-0.027827983205425233,-0.46960280406647736,-0.8232331499674737,-0.658241579403934,-0.27710322809646615,0.5481989346525311
2023-03-29,-0.6379985877828641,-0.600371108021301,-0.5924268444200964,-0.5256957494822444,0.08575049871857843,0.6750607928308598,-0.8362533928740798,-0.9756123576195115,-0.8993994422517408,-0.6322698364184074,-0.8362533928740798,-0.19100334238561212,-0.39194004399015214,0.18273707533860817,-0.37636297857795975,-0.6608299803037596,-0.1913194098670541,0.6750607928308601,0.5469490245524917,0.521977063186374,-0.2714386769815561,0.0226323549316525,-0.9830731612973106,-0.572466317568951,-0.1540794287406978,-0.27710322809646615,0.5428062029834138
